Circuit,LUTRAMs,8K BRAMs,128K BRAMs,Regular LBs,Required LB Tiles,Total FPGA Area
Circuit 0,798,365,12,2946,3744,1.86717e+08
Circuit 1,1512,464,15,3121,4640,2.31559e+08
Circuit 2,0,62,0,1836,1836,9.16224e+07
Circuit 3,0,81,1,2808,2808,1.3999e+08
Circuit 4,201,800,27,7907,8108,4.05223e+08
Circuit 5,0,276,4,3692,3692,1.84285e+08
Circuit 6,3,183,4,1853,1856,9.25655e+07
Circuit 7,659,464,15,4018,4677,2.33236e+08
Circuit 8,130,547,17,5342,5472,2.73324e+08
Circuit 9,0,33,0,1636,1636,8.13408e+07
Circuit 10,564,205,6,1481,2050,1.01772e+08
Circuit 11,108,142,2,1329,1437,7.10967e+07
Circuit 12,0,11,2,1632,1632,8.11908e+07
Circuit 13,0,24,0,4491,4491,2.23672e+08
Circuit 14,270,207,6,1882,2152,1.07413e+08
Circuit 15,0,90,4,1956,1956,9.7281e+07
Circuit 16,0,56,2,2181,2181,1.0879e+08
Circuit 17,0,61,0,1165,1165,5.74392e+07
Circuit 18,0,156,6,2036,2036,1.01053e+08
Circuit 19,360,260,8,2238,2600,1.29408e+08
Circuit 20,113,221,7,2679,2792,1.39293e+08
Circuit 21,0,60,1,5100,5100,2.54951e+08
Circuit 22,609,306,9,2477,3086,1.53969e+08
Circuit 23,0,107,11,5230,5230,2.61081e+08
Circuit 24,56,439,14,4333,4390,2.18919e+08
Circuit 25,0,112,0,4517,4517,2.25691e+08
Circuit 26,458,219,7,1480,2190,1.09224e+08
Circuit 27,0,20,0,1496,1496,7.38885e+07
Circuit 28,529,276,9,2144,2760,1.37803e+08
Circuit 29,106,311,10,3026,3132,1.56176e+08
Circuit 30,0,215,0,5419,5419,2.70757e+08
Circuit 31,0,80,0,4347,4347,2.16824e+08
Circuit 32,1350,506,16,3913,5263,2.62609e+08
Circuit 33,316,445,14,4143,4459,2.22086e+08
Circuit 34,51,416,14,1705,4200,2.0996e+08
Circuit 35,0,78,2,1360,1360,6.75333e+07
Circuit 36,861,595,19,1788,5950,2.96734e+08
Circuit 37,0,48,0,14969,14969,7.47457e+08
Circuit 38,0,278,9,3202,3202,1.59477e+08
Circuit 39,332,220,6,1871,2203,1.09808e+08
Circuit 40,0,165,1,3060,3060,1.52801e+08
Circuit 41,383,270,9,2030,2700,1.34974e+08
Circuit 42,0,89,0,1337,1337,6.63812e+07
Circuit 43,113,132,4,1212,1325,6.58346e+07
Circuit 44,16,208,7,2114,2130,1.06395e+08
Circuit 45,0,13,1,2782,2782,1.38822e+08
Circuit 46,1172,476,14,3588,4760,2.37217e+08
Circuit 47,0,54,0,1439,1439,7.11717e+07
Circuit 48,3,689,22,6894,6897,3.43874e+08
Circuit 49,1623,1350,45,11883,13506,6.75096e+08
Circuit 50,0,580,0,11884,11884,5.93526e+08
Circuit 51,0,419,8,4204,4204,2.1011e+08
Circuit 52,0,641,0,9603,9603,4.80021e+08
Circuit 53,0,816,0,10817,10817,5.40631e+08
Circuit 54,0,884,1,10903,10903,5.44725e+08
Circuit 55,178,1051,35,10341,10519,5.25709e+08
Circuit 56,0,342,2,4578,4578,2.28558e+08
Circuit 57,0,466,0,7145,7145,3.56439e+08
Circuit 58,0,770,11,7700,7700,3.84359e+08
Circuit 59,0,1402,38,11888,14020,7.00242e+08
Circuit 60,0,558,0,20371,20371,1.01758e+09
Circuit 61,0,1890,62,15079,18900,9.44819e+08
Circuit 62,231,513,17,4902,5133,2.56478e+08
Circuit 63,0,391,15,4846,4846,2.42065e+08
Circuit 64,839,1123,37,10451,11290,5.63853e+08
Circuit 65,0,357,0,12721,12721,6.35576e+08
Circuit 66,101,641,21,6310,6411,3.20164e+08
Circuit 67,1798,478,15,2966,4780,2.3816e+08
Circuit 68,0,192,0,4850,4850,2.42312e+08